maintenance_id,machine_id,maintenance_type,failure_code,work_order_open_date,work_order_close_date,downtime_hours,technician_empid,parts_consumed,resolution_notes,pm_scheduled_date,pm_completed_date,days_overdue
MNT-000246,MCH-003,INSPECTION,,2023-01-26 15:00:00,2023-01-26 16:36:00,1.6,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000510,MCH-006,UNPLANNED_REPAIR,ELECTRICAL,2023-01-29 07:45:00,2023-01-30 03:27:00,19.7,1074,Control fuse; Encoder,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000998,MCH-010,INSPECTION,,2023-01-29 15:00:00,2023-01-29 16:48:00,1.8,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001250,MCH-012,UNPLANNED_REPAIR,ELECTRICAL,2023-01-31 06:15:00,2023-02-01 02:45:00,20.5,1092,Control fuse,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000610,MCH-007,UNPLANNED_REPAIR,TOOLING,2023-01-31 19:00:00,2023-02-01 13:18:00,18.3,1037,Tool holder; Insert set; Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001067,MCH-011,UNPLANNED_REPAIR,MECHANICAL,2023-02-01 10:15:00,2023-02-02 16:27:00,30.2,1092,Drive belt; Ball screw,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000340,MCH-004,INSPECTION,,2023-02-02 15:00:00,2023-02-02 17:00:00,2.0,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000768,MCH-008,UNPLANNED_REPAIR,TOOLING,2023-02-03 14:00:00,2023-02-04 02:12:00,12.2,1051,Collet; Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000869,MCH-009,UNPLANNED_REPAIR,TOOLING,2023-02-04 20:00:00,2023-02-05 04:24:00,8.4,1092,Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000802,MCH-008,INSPECTION,,2023-02-05 15:00:00,2023-02-05 16:06:00,1.1,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000940,MCH-010,PLANNED_PM,,2023-02-06 07:00:00,2023-02-06 11:00:00,4.0,1092,Air filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-02-07,2023-02-06,-1.0
MNT-000001,MCH-001,PLANNED_PM,,2023-02-07 07:00:00,2023-02-07 09:54:00,2.9,1092,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-11,2023-02-07,-4.0
MNT-000740,MCH-008,PLANNED_PM,,2023-02-07 07:00:00,2023-02-07 12:00:00,5.0,1074,Air filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-01-16,2023-02-07,22.0
MNT-001221,MCH-012,PLANNED_PM,,2023-02-07 07:00:00,2023-02-07 10:24:00,3.4,1051,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-01-12,2023-02-07,26.0
MNT-000150,MCH-002,INSPECTION,,2023-02-08 15:00:00,2023-02-08 16:36:00,1.6,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000901,MCH-009,INSPECTION,,2023-02-08 15:00:00,2023-02-08 16:00:00,1.0,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001068,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-02-09 19:00:00,2023-02-10 18:18:00,23.3,1092,Collet; Insert set; Tool holder,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000969,MCH-010,UNPLANNED_REPAIR,TOOLING,2023-02-12 16:45:00,2023-02-13 09:21:00,16.6,1092,Collet; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001292,MCH-012,INSPECTION,,2023-02-13 15:00:00,2023-02-13 16:30:00,1.5,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000701,MCH-007,INSPECTION,,2023-02-14 15:00:00,2023-02-14 16:12:00,1.2,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000482,MCH-006,PLANNED_PM,,2023-02-15 07:00:00,2023-02-15 12:18:00,5.3,1037,Coolant filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-01-26,2023-02-15,20.0
MNT-000443,MCH-005,INSPECTION,,2023-02-15 15:00:00,2023-02-15 17:00:00,2.0,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000541,MCH-006,INSPECTION,,2023-02-15 15:00:00,2023-02-15 17:00:00,2.0,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000029,MCH-001,UNPLANNED_REPAIR,MECHANICAL,2023-02-15 17:45:00,2023-02-16 11:57:00,18.2,1051,Way cover; Spindle bearing,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001251,MCH-012,UNPLANNED_REPAIR,MECHANICAL,2023-02-15 18:45:00,2023-02-16 14:27:00,19.7,1037,Ball screw,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000611,MCH-007,UNPLANNED_REPAIR,MECHANICAL,2023-02-16 11:45:00,2023-02-16 18:09:00,6.4,1074,Drive belt,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000218,MCH-003,UNPLANNED_REPAIR,MECHANICAL,2023-02-16 15:45:00,2023-02-17 07:51:00,16.1,1092,Ball screw; Spindle bearing; Way cover,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000769,MCH-008,UNPLANNED_REPAIR,MECHANICAL,2023-02-19 06:30:00,2023-02-19 15:42:00,9.2,1092,Spindle bearing,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000189,MCH-003,PLANNED_PM,,2023-02-20 07:00:00,2023-02-20 12:48:00,5.8,1037,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-07,2023-02-20,13.0
MNT-001069,MCH-011,UNPLANNED_REPAIR,MECHANICAL,2023-02-22 15:15:00,2023-02-23 20:27:00,29.2,1074,Drive belt; Ball screw,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001222,MCH-012,PLANNED_PM,,2023-02-23 07:00:00,2023-02-23 09:54:00,2.9,1051,Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-23,2023-02-23,0.0
MNT-001183,MCH-011,INSPECTION,,2023-02-23 15:00:00,2023-02-23 16:18:00,1.3,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000057,MCH-001,INSPECTION,,2023-02-24 15:00:00,2023-02-24 15:54:00,0.9,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000247,MCH-003,INSPECTION,,2023-02-25 15:00:00,2023-02-25 16:18:00,1.3,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000095,MCH-002,PLANNED_PM,,2023-02-27 07:00:00,2023-02-27 09:00:00,2.0,1074,Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-10,2023-02-27,17.0
MNT-000999,MCH-010,INSPECTION,,2023-02-28 15:00:00,2023-02-28 16:00:00,1.0,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000408,MCH-005,UNPLANNED_REPAIR,TOOLING,2023-02-28 17:30:00,2023-02-28 22:42:00,5.2,1092,Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000286,MCH-004,PLANNED_PM,,2023-03-03 07:00:00,2023-03-03 10:30:00,3.5,1074,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-04,2023-03-03,-1.0
MNT-000612,MCH-007,UNPLANNED_REPAIR,ELECTRICAL,2023-03-03 13:00:00,2023-03-04 20:36:00,31.6,1051,Contactor; Encoder,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000580,MCH-007,PLANNED_PM,,2023-03-04 07:00:00,2023-03-04 10:36:00,3.6,1051,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-12,2023-03-04,20.0
MNT-000341,MCH-004,INSPECTION,,2023-03-04 15:00:00,2023-03-04 15:36:00,0.6,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001070,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-03-05 08:00:00,2023-03-05 18:48:00,10.8,1037,Tool holder; Insert set; Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000803,MCH-008,INSPECTION,,2023-03-07 15:00:00,2023-03-07 16:12:00,1.2,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001252,MCH-012,UNPLANNED_REPAIR,ELECTRICAL,2023-03-08 15:15:00,2023-03-09 05:45:00,14.5,1092,Servo amplifier; Control fuse; Contactor,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000380,MCH-005,PLANNED_PM,,2023-03-09 07:00:00,2023-03-09 09:18:00,2.3,1092,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-03-11,2023-03-09,-2.0
MNT-000870,MCH-009,UNPLANNED_REPAIR,ENVIRONMENTAL,2023-03-09 11:30:00,2023-03-10 05:24:00,17.9,1037,Air filter; Coolant filter,"Cleared coolant and filtration issue, restored fluid levels to spec.",,,
MNT-000151,MCH-002,INSPECTION,,2023-03-10 15:00:00,2023-03-10 16:06:00,1.1,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000902,MCH-009,INSPECTION,,2023-03-10 15:00:00,2023-03-10 16:54:00,1.9,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000613,MCH-007,UNPLANNED_REPAIR,MECHANICAL,2023-03-12 08:00:00,2023-03-13 05:42:00,21.7,1092,Way cover; Drive belt,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001071,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-03-15 12:15:00,2023-03-16 17:33:00,29.3,1051,Insert set; Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001293,MCH-012,INSPECTION,,2023-03-15 15:00:00,2023-03-15 16:06:00,1.1,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000190,MCH-003,PLANNED_PM,,2023-03-16 07:00:00,2023-03-16 11:48:00,4.8,1074,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-21,2023-03-16,-5.0
MNT-000702,MCH-007,INSPECTION,,2023-03-16 15:00:00,2023-03-16 16:36:00,1.6,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000444,MCH-005,INSPECTION,,2023-03-17 15:00:00,2023-03-17 16:18:00,1.3,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000542,MCH-006,INSPECTION,,2023-03-17 15:00:00,2023-03-17 16:30:00,1.5,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001038,MCH-011,PLANNED_PM,,2023-03-19 07:00:00,2023-03-19 10:06:00,3.1,1092,Coolant filter; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-08,2023-03-19,11.0
MNT-000314,MCH-004,UNPLANNED_REPAIR,ELECTRICAL,2023-03-19 15:00:00,2023-03-20 14:54:00,23.9,1037,Contactor,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-000124,MCH-002,UNPLANNED_REPAIR,OPERATOR_INDUCED,2023-03-20 13:00:00,2023-03-21 09:18:00,20.3,1074,Fixture clamp,"Corrected setup fault, reviewed procedure with the assigned operator.",,,
MNT-000002,MCH-001,PLANNED_PM,,2023-03-21 07:00:00,2023-03-21 09:54:00,2.9,1092,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-25,2023-03-21,-4.0
MNT-000941,MCH-010,PLANNED_PM,,2023-03-21 07:00:00,2023-03-21 10:48:00,3.8,1037,Coolant filter; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-21,2023-03-21,0.0
MNT-000511,MCH-006,UNPLANNED_REPAIR,MECHANICAL,2023-03-22 12:15:00,2023-03-22 20:15:00,8.0,1051,Drive belt; Ball screw,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001072,MCH-011,UNPLANNED_REPAIR,TOOLING,2023-03-23 14:30:00,2023-03-24 22:36:00,32.1,1037,Tool holder; Collet; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000770,MCH-008,UNPLANNED_REPAIR,TOOLING,2023-03-25 13:45:00,2023-03-26 00:15:00,10.5,1092,Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001184,MCH-011,INSPECTION,,2023-03-25 15:00:00,2023-03-25 16:48:00,1.8,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000741,MCH-008,PLANNED_PM,,2023-03-26 07:00:00,2023-03-26 09:54:00,2.9,1037,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-02-27,2023-03-26,27.0
MNT-000058,MCH-001,INSPECTION,,2023-03-26 15:00:00,2023-03-26 16:18:00,1.3,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000248,MCH-003,INSPECTION,,2023-03-27 15:00:00,2023-03-27 16:54:00,1.9,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000483,MCH-006,PLANNED_PM,,2023-03-28 07:00:00,2023-03-28 11:48:00,4.8,1092,Coolant filter; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-09,2023-03-28,19.0
MNT-000970,MCH-010,UNPLANNED_REPAIR,MECHANICAL,2023-03-29 13:45:00,2023-03-30 03:45:00,14.0,1092,Ball screw; Drive belt; Spindle bearing,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001000,MCH-010,INSPECTION,,2023-03-30 15:00:00,2023-03-30 16:36:00,1.6,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000614,MCH-007,UNPLANNED_REPAIR,OPERATOR_INDUCED,2023-03-30 16:15:00,2023-03-31 02:57:00,10.7,1051,Probe stylus,"Corrected setup fault, reviewed procedure with the assigned operator.",,,
MNT-000842,MCH-009,PLANNED_PM,,2023-04-01 07:00:00,2023-04-01 11:18:00,4.3,1051,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-03-02,2023-04-01,30.0
MNT-001223,MCH-012,PLANNED_PM,,2023-04-01 07:00:00,2023-04-01 09:18:00,2.3,1037,Coolant filter; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-04-06,2023-04-01,-5.0
MNT-000342,MCH-004,INSPECTION,,2023-04-03 15:00:00,2023-04-03 16:30:00,1.5,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001073,MCH-011,UNPLANNED_REPAIR,MECHANICAL,2023-04-03 19:30:00,2023-04-04 19:42:00,24.2,1051,Drive belt; Ball screw; Way cover,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000742,MCH-008,PLANNED_PM,,2023-04-05 07:00:00,2023-04-05 12:42:00,5.7,1092,Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-04-10,2023-04-05,-5.0
MNT-000219,MCH-003,UNPLANNED_REPAIR,TOOLING,2023-04-05 17:30:00,2023-04-06 16:12:00,22.7,1074,Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000409,MCH-005,UNPLANNED_REPAIR,TOOLING,2023-04-06 10:15:00,2023-04-07 04:21:00,18.1,1092,Tool holder,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000804,MCH-008,INSPECTION,,2023-04-06 15:00:00,2023-04-06 15:54:00,0.9,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000581,MCH-007,PLANNED_PM,,2023-04-09 07:00:00,2023-04-09 10:42:00,3.7,1051,Way lube,Completed scheduled preventive maintenance per equipment checklist.,,2023-04-09,
MNT-000152,MCH-002,INSPECTION,,2023-04-09 15:00:00,2023-04-09 16:18:00,1.3,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000903,MCH-009,INSPECTION,,2023-04-09 15:00:00,2023-04-09 16:42:00,1.7,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000315,MCH-004,UNPLANNED_REPAIR,TOOLING,2023-04-10 08:15:00,2023-04-10 14:21:00,6.1,1051,Collet; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000030,MCH-001,UNPLANNED_REPAIR,TOOLING,2023-04-12 11:45:00,2023-04-13 04:21:00,16.6,1092,Insert set; Tool holder,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000287,MCH-004,PLANNED_PM,,2023-04-13 07:00:00,2023-04-13 09:12:00,2.2,1051,Way lube; Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-04-15,2023-04-13,-2.0
MNT-001294,MCH-012,INSPECTION,,2023-04-14 15:00:00,2023-04-14 15:48:00,0.8,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001074,MCH-011,UNPLANNED_REPAIR,MECHANICAL,2023-04-14 20:45:00,2023-04-15 18:03:00,21.3,1092,Drive belt; Ball screw,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-001253,MCH-012,UNPLANNED_REPAIR,OPERATOR_INDUCED,2023-04-15 06:45:00,2023-04-16 01:27:00,18.7,1074,Fixture clamp; Probe stylus,"Corrected setup fault, reviewed procedure with the assigned operator.",,,
MNT-000771,MCH-008,UNPLANNED_REPAIR,TOOLING,2023-04-15 10:00:00,2023-04-16 02:24:00,16.4,1051,Collet; Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000703,MCH-007,INSPECTION,,2023-04-15 15:00:00,2023-04-15 16:00:00,1.0,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000445,MCH-005,INSPECTION,,2023-04-16 15:00:00,2023-04-16 15:36:00,0.6,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000543,MCH-006,INSPECTION,,2023-04-16 15:00:00,2023-04-16 16:18:00,1.3,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000096,MCH-002,PLANNED_PM,,2023-04-17 07:00:00,2023-04-17 11:12:00,4.2,1074,Air filter; Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-03-24,2023-04-17,24.0
MNT-000615,MCH-007,UNPLANNED_REPAIR,TOOLING,2023-04-17 13:30:00,2023-04-18 09:24:00,19.9,1092,Insert set; Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000381,MCH-005,PLANNED_PM,,2023-04-18 07:00:00,2023-04-18 11:12:00,4.2,1074,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-04-22,2023-04-18,-4.0
MNT-000871,MCH-009,UNPLANNED_REPAIR,TOOLING,2023-04-20 11:30:00,2023-04-21 10:06:00,22.6,1051,Collet; Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-001039,MCH-011,PLANNED_PM,,2023-04-21 07:00:00,2023-04-21 12:48:00,5.8,1092,Way lube; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-04-19,2023-04-21,2.0
MNT-001185,MCH-011,INSPECTION,,2023-04-24 15:00:00,2023-04-24 16:18:00,1.3,1037,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000484,MCH-006,PLANNED_PM,,2023-04-25 07:00:00,2023-04-25 12:18:00,5.3,1092,Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-04-20,2023-04-25,5.0
MNT-000059,MCH-001,INSPECTION,,2023-04-25 15:00:00,2023-04-25 16:06:00,1.1,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-001075,MCH-011,UNPLANNED_REPAIR,OPERATOR_INDUCED,2023-04-26 11:45:00,2023-04-27 13:03:00,25.3,1074,Fixture clamp; Probe stylus,"Corrected setup fault, reviewed procedure with the assigned operator.",,,
MNT-000249,MCH-003,INSPECTION,,2023-04-26 15:00:00,2023-04-26 17:00:00,2.0,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000125,MCH-002,UNPLANNED_REPAIR,MECHANICAL,2023-04-27 16:30:00,2023-04-28 01:12:00,8.7,1037,Way cover; Drive belt; Spindle bearing,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000316,MCH-004,UNPLANNED_REPAIR,ELECTRICAL,2023-04-28 19:00:00,2023-04-29 01:30:00,6.5,1074,Contactor,"Repaired electrical fault, tested control response through full axis travel.",,,
MNT-001001,MCH-010,INSPECTION,,2023-04-29 15:00:00,2023-04-29 15:30:00,0.5,1092,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000616,MCH-007,UNPLANNED_REPAIR,TOOLING,2023-04-29 19:45:00,2023-04-30 22:33:00,26.8,1092,Collet; Insert set; Tool holder,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000191,MCH-003,PLANNED_PM,,2023-04-30 07:00:00,2023-04-30 11:36:00,4.6,1092,Coolant filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-05-02,2023-04-30,-2.0
MNT-000003,MCH-001,PLANNED_PM,,2023-05-02 07:00:00,2023-05-02 10:48:00,3.8,1074,Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-05-06,2023-05-02,-4.0
MNT-000843,MCH-009,PLANNED_PM,,2023-05-03 07:00:00,2023-05-03 11:42:00,4.7,1074,Air filter; Coolant filter,Completed scheduled preventive maintenance per equipment checklist.,2023-04-13,2023-05-03,20.0
MNT-000343,MCH-004,INSPECTION,,2023-05-03 15:00:00,2023-05-03 15:36:00,0.6,1074,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000512,MCH-006,UNPLANNED_REPAIR,MECHANICAL,2023-05-03 15:45:00,2023-05-03 20:03:00,4.3,1051,Spindle bearing; Drive belt,"Serviced mechanical assembly, verified alignment and runout on completion.",,,
MNT-000772,MCH-008,UNPLANNED_REPAIR,TOOLING,2023-05-04 17:00:00,2023-05-05 08:36:00,15.6,1037,Tool holder; Insert set,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000971,MCH-010,UNPLANNED_REPAIR,TOOLING,2023-05-04 19:30:00,2023-05-05 18:06:00,22.6,1092,Collet,Replaced worn tooling and confirmed first-article dimensions within tolerance.,,,
MNT-000097,MCH-002,PLANNED_PM,,2023-05-05 07:00:00,2023-05-05 12:24:00,5.4,1051,Coolant filter; Air filter,Completed scheduled preventive maintenance per equipment checklist.,2023-05-05,2023-05-05,0.0
MNT-000805,MCH-008,INSPECTION,,2023-05-06 15:00:00,2023-05-06 16:54:00,1.9,1051,Inspection consumables,"Completed condition inspection, no corrective action required.",,,
MNT-000582,MCH-007,PLANNED_PM,,2023-05-07 07:00:00,2023-05-07 10:18:00,3.3,1074,Coolant filter; Way lube,Completed scheduled preventive maintenance per equipment checklist.,2023-05-07,2023-05-07,0.0
