reading_date,machine_id,vibration_rms_mm_s,bearing_temp_c,spindle_power_kw,hydraulic_pressure_bar
2023-03-15,MCH-001,1.31,42.3,5.28,121.3
2023-03-16,MCH-001,1.23,43.0,5.21,117.1
2023-03-17,MCH-001,1.34,44.3,5.07,118.5
2023-03-18,MCH-001,1.1,42.7,5.1,117.8
2023-03-20,MCH-001,0.99,43.5,4.95,117.4
2023-03-21,MCH-001,1.3,43.4,5.15,117.6
2023-03-22,MCH-001,1.3,44.8,5.01,119.7
2023-03-23,MCH-001,1.25,42.3,5.29,114.9
2023-03-24,MCH-001,1.22,42.5,5.39,121.8
2023-03-25,MCH-001,1.29,42.7,5.09,117.2
2023-03-27,MCH-001,0.95,43.8,5.91,117.1
2023-03-28,MCH-001,1.16,44.2,6.12,119.6
2023-03-29,MCH-001,1.18,43.2,5.99,118.0
2023-03-30,MCH-001,1.29,41.8,6.9,120.3
2023-03-31,MCH-001,1.11,43.2,6.78,119.5
2023-04-01,MCH-001,1.2,44.1,6.63,112.7
2023-04-03,MCH-001,1.29,41.0,7.41,117.3
2023-04-04,MCH-001,1.17,42.6,7.69,114.3
2023-04-05,MCH-001,1.01,43.8,7.8,114.6
2023-04-06,MCH-001,1.17,43.2,8.07,114.0
2023-04-07,MCH-001,1.27,43.2,9.07,118.1
2023-04-08,MCH-001,1.03,41.1,8.17,123.4
2023-04-10,MCH-001,1.18,43.6,9.43,119.1
2023-04-11,MCH-001,1.1,44.9,8.89,112.5
2023-04-12,MCH-001,1.13,41.7,9.39,116.5
2023-04-13,MCH-001,1.1,43.5,5.36,117.7
2023-04-14,MCH-001,1.21,44.2,4.9,117.6
2023-04-15,MCH-001,1.25,44.6,5.06,116.3
2023-04-17,MCH-001,1.21,43.9,5.51,115.2
2023-04-18,MCH-001,0.98,43.1,5.65,116.5
2023-04-19,MCH-001,1.36,42.5,5.58,115.3
2023-04-20,MCH-001,1.23,42.4,5.15,117.7
2023-04-21,MCH-001,1.09,44.4,4.88,115.6
2023-04-22,MCH-001,1.15,44.1,5.1,115.4
2023-04-24,MCH-001,1.14,44.2,4.94,114.6
2023-04-25,MCH-001,1.21,42.9,5.28,96.4
2023-04-26,MCH-001,1.22,43.0,5.14,116.5
2023-04-27,MCH-001,1.24,42.3,5.37,115.5
2023-04-28,MCH-001,1.07,44.6,5.34,115.8
2023-04-29,MCH-001,1.14,43.6,4.79,115.3
2023-05-01,MCH-001,1.01,41.9,5.61,117.6
2023-05-02,MCH-001,1.14,43.3,4.34,116.6
2023-05-03,MCH-001,1.23,43.6,4.82,120.0
2023-05-04,MCH-001,1.01,43.5,5.26,118.6
2023-05-05,MCH-001,1.09,42.4,5.18,118.0
2023-05-06,MCH-001,1.25,43.9,5.04,120.8
2023-05-08,MCH-001,1.25,43.4,4.99,121.1
2023-05-09,MCH-001,1.36,43.2,5.25,117.9
2023-05-10,MCH-001,1.25,43.4,6.22,115.6
2023-05-11,MCH-001,1.52,44.1,5.92,119.8
2023-05-12,MCH-001,1.4,41.9,6.06,117.5
2023-05-13,MCH-001,1.55,42.8,6.64,116.4
2023-05-15,MCH-001,1.82,44.6,6.19,116.6
2023-05-16,MCH-001,1.67,44.0,7.06,119.2
2023-05-17,MCH-001,1.77,42.1,6.85,118.4
2023-05-18,MCH-001,1.88,43.5,7.05,114.9
2023-05-19,MCH-001,1.95,44.6,6.77,116.2
2023-05-20,MCH-001,1.95,43.0,6.65,116.0
2023-05-22,MCH-001,2.25,41.9,7.3,119.2
2023-05-23,MCH-001,2.15,42.6,7.49,118.3
2023-05-24,MCH-001,2.37,44.0,7.44,124.3
2023-05-25,MCH-001,2.41,44.2,8.37,115.4
2023-05-26,MCH-001,2.48,42.9,7.99,116.4
2023-05-27,MCH-001,2.49,42.4,7.99,116.5
2023-05-29,MCH-001,2.54,43.0,8.43,114.4
2023-05-30,MCH-001,2.76,41.8,8.76,116.4
2023-05-31,MCH-001,2.87,42.7,8.35,120.1
2023-06-01,MCH-001,2.69,43.6,9.12,116.3
2023-06-02,MCH-001,2.86,44.0,8.58,114.7
2023-06-03,MCH-001,2.9,42.9,9.41,115.2
2023-06-05,MCH-001,1.13,43.7,5.1,116.3
2023-06-06,MCH-001,1.13,42.6,5.25,116.8
2023-06-07,MCH-001,1.12,41.7,5.37,120.4
2023-06-08,MCH-001,1.21,44.1,4.54,117.7
2023-06-09,MCH-001,1.08,42.7,4.9,116.4
2023-06-10,MCH-001,1.08,43.2,4.75,116.0
2023-06-12,MCH-001,1.32,43.5,5.13,118.4
2023-06-13,MCH-001,1.23,43.6,5.28,116.0
2023-06-14,MCH-001,1.22,41.6,5.31,120.9
2023-06-15,MCH-001,1.25,52.7,5.31,115.7
2023-06-16,MCH-001,1.38,41.4,5.17,117.1
2023-06-17,MCH-001,1.14,42.7,5.2,118.8
2023-06-19,MCH-001,1.15,42.8,5.12,119.1
2023-06-20,MCH-001,1.23,42.1,5.46,117.4
2023-06-21,MCH-001,0.99,42.6,4.64,121.7
2023-06-22,MCH-001,1.36,43.0,5.13,121.7
2023-06-23,MCH-001,1.1,42.1,5.44,118.5
2023-06-24,MCH-001,1.19,43.6,5.39,115.8
2023-06-26,MCH-001,1.28,42.4,5.28,116.4
2023-06-27,MCH-001,1.23,43.4,5.64,114.1
2023-06-28,MCH-001,1.25,43.0,4.71,116.9
2023-06-29,MCH-001,1.28,43.0,5.21,114.2
2023-06-30,MCH-001,1.42,41.9,5.21,116.9
2023-07-01,MCH-001,0.92,42.3,5.43,115.7
2023-07-03,MCH-001,1.15,44.5,5.36,114.5
2023-07-04,MCH-001,1.17,44.5,6.04,118.9
2023-07-05,MCH-001,1.65,42.7,5.18,114.9
2023-07-06,MCH-001,1.21,46.1,5.93,116.9
2023-07-07,MCH-001,1.6,44.3,6.37,116.4
2023-07-08,MCH-001,1.6,42.7,6.02,118.2
2023-07-10,MCH-001,1.77,44.4,6.31,120.7
2023-07-11,MCH-001,1.72,43.4,6.71,117.6
2023-07-12,MCH-001,2.06,42.9,6.53,116.5
2023-07-13,MCH-001,1.95,44.1,7.16,113.1
2023-07-14,MCH-001,1.97,39.6,6.99,118.8
2023-07-15,MCH-001,2.21,42.8,7.27,119.6
2023-07-17,MCH-001,2.22,45.0,7.37,117.9
2023-07-18,MCH-001,2.27,42.0,7.95,114.7
2023-07-19,MCH-001,2.34,43.4,8.17,119.1
2023-07-20,MCH-001,2.62,44.3,8.5,117.1
2023-07-21,MCH-001,2.58,43.0,8.63,115.6
2023-07-22,MCH-001,2.7,43.7,8.01,117.9
2023-07-24,MCH-001,2.83,44.9,8.55,118.5
2023-07-25,MCH-001,2.94,44.1,9.04,119.2
2023-07-26,MCH-001,2.85,43.1,8.77,119.0
2023-07-27,MCH-001,3.1,43.0,8.94,117.2
2023-07-28,MCH-001,3.07,42.5,10.12,119.6
2023-07-29,MCH-001,3.26,43.9,10.18,119.6
2023-07-31,MCH-001,1.2,41.2,5.36,116.6
2023-08-01,MCH-001,1.29,43.8,4.66,120.4
2023-08-02,MCH-001,1.29,43.5,5.39,117.6
2023-08-03,MCH-001,1.11,42.5,4.69,120.5
2023-08-04,MCH-001,1.22,43.8,5.69,118.9
2023-08-05,MCH-001,1.17,41.0,5.03,117.3
2023-08-07,MCH-001,1.25,43.1,5.13,117.0
2023-08-08,MCH-001,1.27,44.0,5.2,113.2
2023-08-09,MCH-001,1.25,42.6,4.88,116.6
2023-08-10,MCH-001,1.25,44.2,5.27,117.1
2023-08-11,MCH-001,1.07,41.9,5.24,114.6
2023-08-12,MCH-001,1.34,41.8,5.37,118.6
2023-08-14,MCH-001,1.28,42.6,5.5,119.6
2023-08-15,MCH-001,1.05,42.8,5.26,118.6
2023-08-16,MCH-001,1.22,41.1,4.39,117.4
2023-08-17,MCH-001,1.06,43.4,5.44,116.7
2023-08-18,MCH-001,1.05,44.0,5.07,117.3
2023-08-19,MCH-001,1.21,42.5,5.32,118.4
2023-08-21,MCH-001,1.26,44.3,4.96,118.2
2023-08-22,MCH-001,1.19,44.2,5.1,118.0
