event_id,machine_id,event_timestamp,shift,machine_state,state_duration_minutes,operator_id,spindle_utilization_pct,alarm_code
EVT-00000064,MCH-002,2023-01-02 13:45:00,A,SETUP,15,1071,,
EVT-00000065,MCH-003,2023-01-02 06:00:00,A,RUNNING,15,1042,81.7,
EVT-00000066,MCH-003,2023-01-02 06:15:00,A,RUNNING,15,1042,84.3,
EVT-00000067,MCH-003,2023-01-02 06:30:00,A,PLANNED_DOWN,120,1042,,
EVT-00000068,MCH-003,2023-01-02 08:30:00,A,RUNNING,15,1042,84.5,
EVT-00000069,MCH-003,2023-01-02 08:45:00,A,RUNNING,15,1042,90.6,
EVT-00000070,MCH-003,2023-01-02 09:00:00,A,RUNNING,15,1042,89.7,
EVT-00000071,MCH-003,2023-01-02 09:15:00,A,RUNNING,15,1042,71.5,
EVT-00000072,MCH-003,2023-01-02 09:30:00,A,RUNNING,15,1042,77.6,
EVT-00000073,MCH-003,2023-01-02 09:45:00,A,RUNNING,15,1042,73.9,
EVT-00000074,MCH-003,2023-01-02 10:00:00,A,RUNNING,15,1042,74.0,
EVT-00000075,MCH-003,2023-01-02 10:15:00,A,IDLE,15,1042,,
EVT-00000076,MCH-003,2023-01-02 10:30:00,A,RUNNING,15,1042,76.1,
EVT-00000077,MCH-003,2023-01-02 10:45:00,A,RUNNING,15,1042,83.0,
EVT-00000078,MCH-003,2023-01-02 11:00:00,A,RUNNING,15,1042,79.2,
EVT-00000079,MCH-003,2023-01-02 11:15:00,A,RUNNING,15,1042,88.6,
EVT-00000080,MCH-003,2023-01-02 11:30:00,A,RUNNING,15,1042,80.9,
EVT-00000081,MCH-003,2023-01-02 11:45:00,A,RUNNING,15,1042,90.4,
EVT-00000082,MCH-003,2023-01-02 12:00:00,A,RUNNING,15,1042,85.0,
EVT-00000083,MCH-003,2023-01-02 12:15:00,A,RUNNING,15,1042,83.7,
EVT-00000084,MCH-003,2023-01-02 12:30:00,A,RUNNING,15,1042,82.5,
EVT-00000085,MCH-003,2023-01-02 12:45:00,A,RUNNING,15,1042,81.2,
EVT-00000086,MCH-003,2023-01-02 13:00:00,A,RUNNING,15,1042,89.4,
EVT-00000087,MCH-003,2023-01-02 13:15:00,A,RUNNING,15,1042,76.4,
EVT-00000088,MCH-003,2023-01-02 13:30:00,A,RUNNING,15,1042,82.2,
EVT-00000089,MCH-003,2023-01-02 13:45:00,A,RUNNING,15,1042,84.4,
EVT-00000090,MCH-004,2023-01-02 06:00:00,A,RUNNING,15,1009,86.3,
EVT-00000091,MCH-004,2023-01-02 06:15:00,A,RUNNING,15,1009,75.9,
EVT-00000092,MCH-004,2023-01-02 06:30:00,A,RUNNING,15,1009,82.9,
EVT-00000093,MCH-004,2023-01-02 06:45:00,A,RUNNING,15,1009,74.0,
EVT-00000094,MCH-004,2023-01-02 07:00:00,A,RUNNING,15,1009,67.9,
EVT-00000095,MCH-004,2023-01-02 07:15:00,A,RUNNING,15,1009,75.4,
EVT-00000096,MCH-004,2023-01-02 07:30:00,A,RUNNING,15,1009,89.1,
EVT-00000097,MCH-004,2023-01-02 07:45:00,A,RUNNING,15,1009,75.7,
EVT-00000098,MCH-004,2023-01-02 08:00:00,A,RUNNING,15,1009,82.3,
EVT-00000099,MCH-004,2023-01-02 08:15:00,A,RUNNING,15,1009,85.5,
EVT-00000100,MCH-004,2023-01-02 08:30:00,A,RUNNING,15,1009,78.2,
EVT-00000101,MCH-004,2023-01-02 08:45:00,A,RUNNING,15,1009,98.7,
EVT-00000102,MCH-004,2023-01-02 09:00:00,A,RUNNING,15,1009,86.6,
EVT-00000103,MCH-004,2023-01-02 09:15:00,A,SETUP,15,1009,,
EVT-00000104,MCH-004,2023-01-02 09:30:00,A,IDLE,15,1009,,
EVT-00000105,MCH-004,2023-01-02 09:45:00,A,RUNNING,15,1009,83.6,
EVT-00000106,MCH-004,2023-01-02 10:00:00,A,RUNNING,15,1009,85.7,
EVT-00000107,MCH-004,2023-01-02 10:15:00,A,RUNNING,15,1009,85.2,
EVT-00000108,MCH-004,2023-01-02 10:30:00,A,PLANNED_DOWN,120,1009,,
EVT-00000109,MCH-004,2023-01-02 12:30:00,A,IDLE,15,1009,,
EVT-00000110,MCH-004,2023-01-02 12:45:00,A,RUNNING,15,1009,82.4,
EVT-00000111,MCH-004,2023-01-02 13:00:00,A,RUNNING,15,1009,78.0,
EVT-00000112,MCH-004,2023-01-02 13:15:00,A,RUNNING,15,1009,73.0,
EVT-00000113,MCH-004,2023-01-02 13:30:00,A,RUNNING,15,1009,77.4,
EVT-00000114,MCH-004,2023-01-02 13:45:00,A,RUNNING,15,1009,80.9,
EVT-00000115,MCH-005,2023-01-02 06:00:00,A,RUNNING,15,1042,79.7,
EVT-00000116,MCH-005,2023-01-02 06:15:00,A,RUNNING,15,1042,85.5,
EVT-00000117,MCH-005,2023-01-02 06:30:00,A,RUNNING,15,1042,77.9,
EVT-00000118,MCH-005,2023-01-02 06:45:00,A,RUNNING,15,1042,87.5,
EVT-00000119,MCH-005,2023-01-02 07:00:00,A,SETUP,15,1042,,
EVT-00000120,MCH-005,2023-01-02 07:15:00,A,RUNNING,15,1042,90.3,
EVT-00000121,MCH-005,2023-01-02 07:30:00,A,RUNNING,15,1042,93.9,
EVT-00000122,MCH-005,2023-01-02 07:45:00,A,RUNNING,15,1042,95.3,
EVT-00000123,MCH-005,2023-01-02 08:00:00,A,RUNNING,15,1042,94.9,
EVT-00000124,MCH-005,2023-01-02 08:15:00,A,RUNNING,15,1042,83.9,
EVT-00000125,MCH-005,2023-01-02 08:30:00,A,RUNNING,15,1042,84.1,
EVT-00000126,MCH-005,2023-01-02 08:45:00,A,RUNNING,15,1042,90.8,
EVT-00000127,MCH-005,2023-01-02 09:00:00,A,RUNNING,15,1042,86.3,
EVT-00000128,MCH-005,2023-01-02 09:15:00,A,RUNNING,15,1042,81.8,
EVT-00000129,MCH-005,2023-01-02 09:30:00,A,RUNNING,15,1042,92.2,
EVT-00000130,MCH-005,2023-01-02 09:45:00,A,RUNNING,15,1042,87.7,
EVT-00000131,MCH-005,2023-01-02 10:00:00,A,RUNNING,15,1042,85.7,
EVT-00000132,MCH-005,2023-01-02 10:15:00,A,ALARM,15,1042,,ALM-1010 Spindle Overload
EVT-00000133,MCH-005,2023-01-02 10:30:00,A,RUNNING,15,1042,88.6,
EVT-00000134,MCH-005,2023-01-02 10:45:00,A,SETUP,15,1042,,
EVT-00000135,MCH-005,2023-01-02 11:00:00,A,IDLE,15,1042,,
EVT-00000136,MCH-005,2023-01-02 11:15:00,A,IDLE,15,1042,,
EVT-00000137,MCH-005,2023-01-02 11:30:00,A,RUNNING,15,1042,91.5,
EVT-00000138,MCH-005,2023-01-02 11:45:00,A,RUNNING,15,1042,91.6,
EVT-00000139,MCH-005,2023-01-02 12:00:00,A,RUNNING,15,1042,80.9,
EVT-00000140,MCH-005,2023-01-02 12:15:00,A,ALARM,15,1042,,ALM-3220 Lubrication Low
EVT-00000141,MCH-005,2023-01-02 12:30:00,A,RUNNING,15,1042,84.5,
EVT-00000142,MCH-005,2023-01-02 12:45:00,A,SETUP,15,1042,,
EVT-00000143,MCH-005,2023-01-02 13:00:00,A,RUNNING,15,1042,82.1,
EVT-00000144,MCH-005,2023-01-02 13:15:00,A,IDLE,15,1042,,
EVT-00000145,MCH-005,2023-01-02 13:30:00,A,RUNNING,15,1042,94.0,
EVT-00000146,MCH-005,2023-01-02 13:45:00,A,RUNNING,15,1042,82.4,
EVT-00000147,MCH-006,2023-01-02 06:00:00,A,RUNNING,15,1025,74.9,
EVT-00000148,MCH-006,2023-01-02 06:15:00,A,RUNNING,15,1025,72.2,
EVT-00000149,MCH-006,2023-01-02 06:30:00,A,RUNNING,15,1025,64.7,
EVT-00000150,MCH-006,2023-01-02 06:45:00,A,RUNNING,15,1025,76.3,
EVT-00000151,MCH-006,2023-01-02 07:00:00,A,RUNNING,15,1025,72.0,
EVT-00000152,MCH-006,2023-01-02 07:15:00,A,RUNNING,15,1025,77.4,
EVT-00000153,MCH-006,2023-01-02 07:30:00,A,RUNNING,15,1025,73.0,
EVT-00000154,MCH-006,2023-01-02 07:45:00,A,RUNNING,15,1025,72.6,
EVT-00000155,MCH-006,2023-01-02 08:00:00,A,RUNNING,15,1025,74.9,
EVT-00000156,MCH-006,2023-01-02 08:15:00,A,RUNNING,15,1025,75.9,
EVT-00000157,MCH-006,2023-01-02 08:30:00,A,IDLE,15,1025,,
EVT-00000158,MCH-006,2023-01-02 08:45:00,A,IDLE,15,1025,,
EVT-00000159,MCH-006,2023-01-02 09:00:00,A,RUNNING,15,1025,78.9,
EVT-00000160,MCH-006,2023-01-02 09:15:00,A,RUNNING,15,1025,69.9,
EVT-00000161,MCH-006,2023-01-02 09:30:00,A,RUNNING,15,1025,71.7,
EVT-00000162,MCH-006,2023-01-02 09:45:00,A,RUNNING,15,1025,85.5,
EVT-00000163,MCH-006,2023-01-02 10:00:00,A,IDLE,15,1025,,
EVT-00000164,MCH-006,2023-01-02 10:15:00,A,IDLE,15,1025,,
EVT-00000165,MCH-006,2023-01-02 10:30:00,A,RUNNING,15,1025,75.6,
EVT-00000166,MCH-006,2023-01-02 10:45:00,A,RUNNING,15,1025,77.9,
EVT-00000167,MCH-006,2023-01-02 11:00:00,A,IDLE,15,1025,,
EVT-00000168,MCH-006,2023-01-02 11:15:00,A,RUNNING,15,1025,73.4,
EVT-00000169,MCH-006,2023-01-02 11:30:00,A,SETUP,15,1025,,
EVT-00000170,MCH-006,2023-01-02 11:45:00,A,IDLE,15,1025,,
EVT-00000171,MCH-006,2023-01-02 12:00:00,A,ALARM,15,1025,,ALM-4005 Hydraulic Pressure Fault
EVT-00000172,MCH-006,2023-01-02 12:15:00,A,RUNNING,15,1025,73.6,
EVT-00000173,MCH-006,2023-01-02 12:30:00,A,RUNNING,15,1025,80.4,
EVT-00000174,MCH-006,2023-01-02 12:45:00,A,RUNNING,15,1025,85.8,
EVT-00000175,MCH-006,2023-01-02 13:00:00,A,RUNNING,15,1025,71.6,
EVT-00000176,MCH-006,2023-01-02 13:15:00,A,RUNNING,15,1025,68.4,
EVT-00000177,MCH-006,2023-01-02 13:30:00,A,RUNNING,15,1025,74.1,
EVT-00000178,MCH-006,2023-01-02 13:45:00,A,RUNNING,15,1025,70.9,
EVT-00000179,MCH-007,2023-01-02 06:00:00,A,RUNNING,15,1054,78.9,
EVT-00000180,MCH-007,2023-01-02 06:15:00,A,RUNNING,15,1054,71.5,
EVT-00000181,MCH-007,2023-01-02 06:30:00,A,RUNNING,15,1054,76.8,
EVT-00000182,MCH-007,2023-01-02 06:45:00,A,RUNNING,15,1054,77.7,
EVT-00000183,MCH-007,2023-01-02 07:00:00,A,RUNNING,15,1054,85.2,
EVT-00000184,MCH-007,2023-01-02 07:15:00,A,RUNNING,15,1054,66.8,
EVT-00000185,MCH-007,2023-01-02 07:30:00,A,RUNNING,15,1054,65.2,
EVT-00000186,MCH-007,2023-01-02 07:45:00,A,RUNNING,15,1054,84.9,
EVT-00000187,MCH-007,2023-01-02 08:00:00,A,SETUP,15,1054,,
EVT-00000188,MCH-007,2023-01-02 08:15:00,A,RUNNING,15,1054,79.7,
EVT-00000189,MCH-007,2023-01-02 08:30:00,A,UNPLANNED_DOWN,90,1054,,
EVT-00000190,MCH-007,2023-01-02 10:00:00,A,RUNNING,15,1054,76.0,
EVT-00000191,MCH-007,2023-01-02 10:15:00,A,RUNNING,15,1054,71.6,
EVT-00000192,MCH-007,2023-01-02 10:30:00,A,RUNNING,15,1054,83.9,
EVT-00000193,MCH-007,2023-01-02 10:45:00,A,ALARM,15,1054,,ALM-1010 Spindle Overload
EVT-00000194,MCH-007,2023-01-02 11:00:00,A,RUNNING,15,1054,73.2,
EVT-00000195,MCH-007,2023-01-02 11:15:00,A,RUNNING,15,1054,74.8,
EVT-00000196,MCH-007,2023-01-02 11:30:00,A,RUNNING,15,1054,82.2,
EVT-00000197,MCH-007,2023-01-02 11:45:00,A,RUNNING,15,1054,73.8,
EVT-00000198,MCH-007,2023-01-02 12:00:00,A,RUNNING,15,1054,74.3,
EVT-00000199,MCH-007,2023-01-02 12:15:00,A,RUNNING,15,1054,72.4,
EVT-00000200,MCH-007,2023-01-02 12:30:00,A,RUNNING,15,1054,74.5,
