work_order_id,machine_id,operator_empid,part_number,customer_id,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,setup_hours_actual,job_status,material_type
WO-100015,MCH-002,1005,84341-12,CUST-05,2023-01-03 15:00:00,2023-01-03 20:42:00,2023-01-03 15:41:00,2023-01-03 22:11:36,5.7,6.0,0.51,COMPLETE,Aluminum
WO-100016,MCH-003,1019,17100-11,CUST-04,2023-01-04 15:15:00,2023-01-04 20:27:00,2023-01-04 15:45:00,2023-01-04 21:17:24,5.2,5.3,0.24,COMPLETE,Steel
WO-100017,MCH-011,1048,71348-09,CUST-06,2023-01-04 15:15:00,2023-01-04 20:15:00,2023-01-04 15:19:00,2023-01-04 21:14:48,5.0,5.5,0.43,COMPLETE,Aluminum
WO-100018,MCH-002,1013,24371-03,CUST-05,2023-01-04 07:45:00,2023-01-04 10:57:00,2023-01-04 08:08:00,2023-01-04 12:12:12,3.2,3.6,0.47,COMPLETE,Steel
WO-100019,MCH-007,1009,19880-08,CUST-03,2023-01-04 07:45:00,2023-01-04 16:57:00,2023-01-04 08:23:00,2023-01-04 20:29:00,9.2,11.6,0.5,COMPLETE,Stainless
WO-100020,MCH-010,1054,24371-03,CUST-08,2023-01-04 07:15:00,2023-01-04 10:27:00,2023-01-04 07:44:00,2023-01-04 11:32:36,3.2,3.5,0.31,COMPLETE,Steel
WO-100021,MCH-009,1009,42271-10,CUST-01,2023-01-04 07:15:00,2023-01-04 12:03:00,2023-01-04 07:44:00,2023-01-04 13:49:24,4.8,5.6,0.49,COMPLETE,Steel
WO-100022,MCH-006,1054,50306-04,CUST-04,2023-01-04 07:30:00,2023-01-04 16:24:00,2023-01-04 07:10:00,2023-01-04 16:08:12,8.9,8.6,0.37,COMPLETE,Aluminum
WO-100023,MCH-001,1005,22156-07,CUST-03,2023-01-04 14:15:00,2023-01-04 19:39:00,2023-01-04 14:10:00,2023-01-04 20:38:48,5.4,5.7,0.78,COMPLETE,Aluminum
WO-100024,MCH-004,1054,40512-02,CUST-01,2023-01-04 06:00:00,2023-01-04 09:30:00,2023-01-04 05:50:00,,3.5,,0.36,ON_HOLD,Aluminum
WO-100025,MCH-001,1085,40007-02,CUST-05,2023-01-04 14:00:00,2023-01-05 00:00:00,2023-01-04 14:59:00,2023-01-05 06:27:12,10.0,15.2,0.27,COMPLETE,Stainless
WO-100026,MCH-010,1042,89507-07,CUST-07,2023-01-04 06:45:00,2023-01-04 17:03:00,2023-01-04 07:17:00,2023-01-04 18:12:12,10.3,10.4,0.52,COMPLETE,Titanium
WO-100027,MCH-011,1078,63354-04,CUST-04,2023-01-04 15:45:00,2023-01-04 19:57:00,2023-01-04 16:14:00,2023-01-04 20:33:12,4.2,3.9,0.42,COMPLETE,Aluminum
WO-100028,MCH-005,1005,80284-02,CUST-02,2023-01-04 15:30:00,2023-01-04 17:36:00,2023-01-04 15:03:00,2023-01-04 17:38:24,2.1,2.0,0.59,COMPLETE,Titanium
WO-100029,MCH-004,1063,19071-09,CUST-01,2023-01-05 15:00:00,2023-01-05 17:00:00,2023-01-05 15:36:00,,2.0,,0.34,ON_HOLD,Stainless
WO-100030,MCH-012,1048,16572-10,CUST-04,2023-01-05 14:00:00,2023-01-05 23:00:00,2023-01-05 14:07:00,2023-01-05 23:59:48,9.0,9.5,0.38,COMPLETE,Steel
WO-100031,MCH-005,1048,16572-10,CUST-02,2023-01-05 15:30:00,2023-01-06 00:30:00,2023-01-05 16:29:00,2023-01-06 05:32:36,9.0,12.7,0.36,COMPLETE,Steel
WO-100032,MCH-004,1088,50306-04,CUST-07,2023-01-05 06:45:00,2023-01-05 15:39:00,2023-01-05 06:50:00,2023-01-05 15:36:12,8.9,8.2,0.57,COMPLETE,Aluminum
WO-100033,MCH-009,1031,44718-03,CUST-01,2023-01-05 15:00:00,2023-01-05 19:48:00,2023-01-05 16:00:00,2023-01-05 21:40:12,4.8,5.3,0.37,COMPLETE,Aluminum
WO-100034,MCH-001,1078,11934-02,CUST-05,2023-01-05 15:15:00,2023-01-05 19:45:00,2023-01-05 14:51:00,2023-01-05 20:00:00,4.5,4.8,0.35,COMPLETE,Stainless
WO-100035,MCH-002,1009,11934-02,CUST-07,2023-01-05 06:15:00,2023-01-05 10:45:00,2023-01-05 06:04:00,2023-01-05 10:40:36,4.5,4.1,0.51,COMPLETE,Stainless
WO-100036,MCH-002,1067,16572-10,CUST-03,2023-01-05 07:45:00,2023-01-05 16:45:00,2023-01-05 08:11:00,2023-01-05 18:10:24,9.0,9.5,0.49,COMPLETE,Steel
WO-100037,MCH-007,1096,69929-06,CUST-01,2023-01-05 14:15:00,2023-01-05 23:39:00,2023-01-05 14:18:00,2023-01-06 05:12:36,9.4,14.4,0.51,COMPLETE,Stainless
WO-100038,MCH-003,1013,93810-02,CUST-01,2023-01-05 07:30:00,2023-01-05 08:54:00,2023-01-05 08:29:00,2023-01-05 10:18:48,1.4,1.4,0.43,COMPLETE,Aluminum
WO-100039,MCH-004,1005,63354-04,CUST-01,2023-01-05 14:30:00,2023-01-05 18:42:00,2023-01-05 14:18:00,2023-01-05 19:23:24,4.2,4.5,0.59,COMPLETE,Aluminum
WO-100040,MCH-005,1048,40512-02,CUST-06,2023-01-05 15:45:00,2023-01-05 19:15:00,2023-01-05 15:25:00,2023-01-05 19:47:48,3.5,4.0,0.38,COMPLETE,Aluminum
WO-100041,MCH-012,1063,81482-02,CUST-04,2023-01-05 14:30:00,2023-01-05 15:42:00,2023-01-05 15:13:00,2023-01-05 16:47:48,1.2,1.1,0.48,COMPLETE,Steel
WO-100042,MCH-009,1063,84341-12,CUST-04,2023-01-06 15:30:00,2023-01-06 21:12:00,2023-01-06 15:52:00,2023-01-06 23:35:48,5.7,7.2,0.53,COMPLETE,Aluminum
WO-100043,MCH-003,1085,11934-02,CUST-02,2023-01-06 14:45:00,2023-01-06 19:15:00,2023-01-06 14:26:00,2023-01-06 18:56:00,4.5,4.3,0.2,COMPLETE,Stainless
WO-100044,MCH-007,1054,38080-09,CUST-01,2023-01-06 07:00:00,2023-01-06 17:42:00,2023-01-06 06:56:00,2023-01-06 16:58:24,10.7,9.7,0.34,COMPLETE,Aluminum
WO-100045,MCH-005,1048,40512-02,CUST-03,2023-01-06 14:15:00,2023-01-06 17:45:00,2023-01-06 14:24:00,2023-01-06 17:58:12,3.5,3.2,0.37,COMPLETE,Aluminum
WO-100046,MCH-002,1067,24322-04,CUST-08,2023-01-06 07:30:00,2023-01-06 11:06:00,2023-01-06 07:53:00,2023-01-06 12:21:48,3.6,3.9,0.58,COMPLETE,Aluminum
WO-100047,MCH-004,1078,54313-01,CUST-05,2023-01-06 14:00:00,2023-01-06 15:24:00,2023-01-06 14:05:00,2023-01-06 15:54:12,1.4,1.3,0.52,COMPLETE,Steel
WO-100048,MCH-006,1096,76540-10,CUST-02,2023-01-06 14:45:00,2023-01-06 16:03:00,2023-01-06 15:23:00,2023-01-06 17:14:36,1.3,1.4,0.46,COMPLETE,Aluminum
WO-100049,MCH-009,1048,50306-04,CUST-02,2023-01-06 14:45:00,2023-01-06 23:39:00,2023-01-06 14:44:00,2023-01-07 00:42:48,8.9,9.6,0.38,COMPLETE,Aluminum
WO-100050,MCH-006,1085,54313-01,CUST-02,2023-01-06 14:15:00,2023-01-06 15:39:00,2023-01-06 14:49:00,,1.4,,0.37,ON_HOLD,Steel
WO-100051,MCH-002,1031,47388-07,CUST-01,2023-01-06 14:45:00,2023-01-06 19:45:00,2023-01-06 15:38:00,,5.0,,0.39,ON_HOLD,Steel
WO-100052,MCH-005,1085,80284-02,CUST-01,2023-01-06 15:45:00,2023-01-06 17:51:00,2023-01-06 16:24:00,2023-01-06 19:03:00,2.1,2.2,0.45,COMPLETE,Titanium
WO-100053,MCH-011,1005,80284-02,CUST-06,2023-01-06 14:45:00,2023-01-06 16:51:00,2023-01-06 14:36:00,2023-01-06 17:13:48,2.1,2.1,0.53,COMPLETE,Titanium
WO-100054,MCH-001,1096,76540-10,CUST-06,2023-01-06 14:15:00,2023-01-06 15:33:00,2023-01-06 14:07:00,2023-01-06 15:59:12,1.3,1.3,0.57,COMPLETE,Aluminum
WO-100055,MCH-011,1054,42271-10,CUST-06,2023-01-07 07:45:00,2023-01-07 12:33:00,2023-01-07 07:47:00,2023-01-07 13:22:24,4.8,5.1,0.49,COMPLETE,Steel
WO-100056,MCH-008,1078,22156-07,CUST-01,2023-01-07 15:30:00,2023-01-07 20:54:00,2023-01-07 15:58:00,2023-01-07 22:20:12,5.4,6.1,0.27,COMPLETE,Aluminum
WO-100057,MCH-007,1031,71348-09,CUST-03,2023-01-07 15:30:00,2023-01-07 20:30:00,2023-01-07 15:02:00,,5.0,,0.36,ON_HOLD,Aluminum
WO-100058,MCH-005,1042,44179-04,CUST-03,2023-01-07 06:30:00,2023-01-07 08:00:00,2023-01-07 06:28:00,2023-01-07 08:35:48,1.5,1.6,0.53,COMPLETE,Steel
WO-100059,MCH-011,1067,83563-04,CUST-02,2023-01-07 07:15:00,2023-01-07 11:33:00,2023-01-07 06:56:00,2023-01-07 12:08:00,4.3,4.8,0.4,COMPLETE,Steel
WO-100060,MCH-007,1088,97841-05,CUST-07,2023-01-07 07:15:00,2023-01-07 12:09:00,2023-01-07 07:17:00,2023-01-07 12:59:36,4.9,5.2,0.51,COMPLETE,Steel
WO-100061,MCH-005,1031,24322-04,CUST-05,2023-01-07 14:45:00,2023-01-07 18:21:00,2023-01-07 15:26:00,2023-01-07 20:25:24,3.6,4.5,0.49,COMPLETE,Aluminum
WO-100062,MCH-001,1031,24322-04,CUST-01,2023-01-07 15:00:00,2023-01-07 18:36:00,2023-01-07 15:56:00,2023-01-07 19:51:12,3.6,3.5,0.42,COMPLETE,Aluminum
WO-100063,MCH-009,1005,22156-07,CUST-07,2023-01-07 15:45:00,2023-01-07 21:09:00,2023-01-07 15:29:00,2023-01-07 22:33:12,5.4,6.4,0.67,COMPLETE,Aluminum
WO-100064,MCH-005,1031,57400-10,CUST-05,2023-01-07 15:15:00,2023-01-07 17:33:00,2023-01-07 15:38:00,2023-01-07 18:11:36,2.3,2.2,0.36,COMPLETE,Aluminum
WO-100065,MCH-010,1063,83563-04,CUST-04,2023-01-07 15:15:00,2023-01-07 19:33:00,2023-01-07 15:31:00,2023-01-07 21:07:00,4.3,5.1,0.5,COMPLETE,Steel
WO-100066,MCH-009,1096,40007-02,CUST-07,2023-01-07 14:15:00,2023-01-08 00:15:00,2023-01-07 15:07:00,2023-01-08 01:25:36,10.0,9.6,0.71,COMPLETE,Stainless
WO-100067,MCH-001,1005,97841-05,CUST-01,2023-01-07 14:15:00,2023-01-07 19:09:00,2023-01-07 14:14:00,2023-01-07 20:46:24,4.9,6.0,0.54,COMPLETE,Steel
WO-100068,MCH-010,1025,42087-03,CUST-05,2023-01-07 06:15:00,2023-01-07 09:09:00,2023-01-07 05:46:00,2023-01-07 09:27:24,2.9,3.2,0.49,COMPLETE,Steel
WO-100069,MCH-010,1096,84341-12,CUST-04,2023-01-07 15:00:00,2023-01-07 20:42:00,2023-01-07 14:38:00,2023-01-07 21:21:48,5.7,6.2,0.53,COMPLETE,Aluminum
WO-100070,MCH-010,1054,62565-01,CUST-01,2023-01-09 07:45:00,2023-01-09 09:33:00,2023-01-09 08:37:00,,1.8,,0.38,ON_HOLD,Aluminum
WO-100071,MCH-008,1085,57400-10,CUST-01,2023-01-09 14:00:00,2023-01-09 16:18:00,2023-01-09 14:11:00,2023-01-09 16:42:12,2.3,2.3,0.22,COMPLETE,Aluminum
WO-100072,MCH-005,1085,44179-04,CUST-01,2023-01-09 14:15:00,2023-01-09 15:45:00,2023-01-09 14:40:00,2023-01-09 16:32:12,1.5,1.5,0.37,COMPLETE,Steel
WO-100073,MCH-006,1085,38080-09,CUST-04,2023-01-09 15:30:00,2023-01-10 02:12:00,2023-01-09 15:47:00,,10.7,,0.37,ON_HOLD,Aluminum
WO-100074,MCH-008,1067,80284-02,CUST-02,2023-01-09 06:30:00,2023-01-09 08:36:00,2023-01-09 07:25:00,2023-01-09 09:47:12,2.1,1.9,0.47,COMPLETE,Titanium
WO-100075,MCH-011,1096,76540-10,CUST-05,2023-01-09 14:15:00,2023-01-09 15:33:00,2023-01-09 15:09:00,2023-01-09 16:52:12,1.3,1.3,0.42,COMPLETE,Aluminum
WO-100076,MCH-006,1031,44522-09,CUST-04,2023-01-09 14:30:00,2023-01-09 19:24:00,2023-01-09 14:03:00,2023-01-09 19:36:00,4.9,5.0,0.55,COMPLETE,Stainless
WO-100077,MCH-005,1019,93810-02,CUST-07,2023-01-09 15:00:00,2023-01-09 16:24:00,2023-01-09 14:48:00,2023-01-09 16:19:12,1.4,1.3,0.22,COMPLETE,Aluminum
WO-100078,MCH-002,1009,38080-09,CUST-03,2023-01-09 06:00:00,2023-01-09 16:42:00,2023-01-09 05:49:00,2023-01-09 21:00:24,10.7,14.8,0.39,COMPLETE,Aluminum
WO-100079,MCH-011,1025,17100-11,CUST-03,2023-01-09 07:45:00,2023-01-09 12:57:00,2023-01-09 07:49:00,2023-01-09 14:34:00,5.2,6.2,0.55,COMPLETE,Steel
WO-100080,MCH-006,1031,76540-10,CUST-01,2023-01-09 14:45:00,2023-01-09 16:03:00,2023-01-09 15:31:00,2023-01-09 17:10:36,1.3,1.3,0.36,COMPLETE,Aluminum
WO-100081,MCH-004,1025,76540-10,CUST-04,2023-01-09 07:15:00,2023-01-09 08:33:00,2023-01-09 07:01:00,2023-01-09 08:47:12,1.3,1.3,0.47,COMPLETE,Aluminum
WO-100082,MCH-009,1031,40007-02,CUST-03,2023-01-09 15:45:00,2023-01-10 01:45:00,2023-01-09 16:28:00,2023-01-10 08:04:00,10.0,15.0,0.6,COMPLETE,Stainless
WO-100083,MCH-005,1009,81482-02,CUST-01,2023-01-09 07:30:00,2023-01-09 08:42:00,2023-01-09 07:11:00,2023-01-09 08:55:24,1.2,1.3,0.44,COMPLETE,Steel
WO-100084,MCH-010,1031,40007-02,CUST-06,2023-01-10 14:00:00,2023-01-11 00:00:00,2023-01-10 14:37:00,2023-01-11 01:46:00,10.0,10.7,0.45,COMPLETE,Stainless
WO-100085,MCH-006,1078,71348-09,CUST-07,2023-01-10 14:15:00,2023-01-10 19:15:00,2023-01-10 15:08:00,2023-01-10 20:56:00,5.0,5.3,0.5,COMPLETE,Aluminum
WO-100086,MCH-011,1048,34356-02,CUST-02,2023-01-10 15:30:00,2023-01-10 18:54:00,2023-01-10 15:19:00,2023-01-10 19:56:12,3.4,4.1,0.52,COMPLETE,Steel
WO-100087,MCH-011,1063,42271-10,CUST-02,2023-01-10 15:45:00,2023-01-10 20:33:00,2023-01-10 16:12:00,2023-01-10 21:00:00,4.8,4.4,0.4,COMPLETE,Steel
WO-100088,MCH-005,1067,69929-06,CUST-02,2023-01-10 06:45:00,2023-01-10 16:09:00,2023-01-10 07:28:00,2023-01-10 21:10:00,9.4,13.4,0.3,COMPLETE,Stainless
WO-100089,MCH-008,1042,17100-11,CUST-01,2023-01-10 07:00:00,2023-01-10 12:12:00,2023-01-10 07:34:00,2023-01-10 12:41:12,5.2,4.8,0.32,COMPLETE,Steel
WO-100090,MCH-012,1048,47388-07,CUST-05,2023-01-10 15:30:00,2023-01-10 20:30:00,2023-01-10 16:26:00,2023-01-10 22:37:24,5.0,5.8,0.39,COMPLETE,Steel
WO-100091,MCH-011,1031,19071-09,CUST-03,2023-01-10 15:30:00,2023-01-10 17:30:00,2023-01-10 16:24:00,,2.0,,0.47,ON_HOLD,Stainless
WO-100092,MCH-003,1031,42271-10,CUST-01,2023-01-10 15:15:00,2023-01-10 20:03:00,2023-01-10 16:01:00,2023-01-10 21:23:48,4.8,5.0,0.38,COMPLETE,Steel
WO-100093,MCH-009,1019,97841-05,CUST-02,2023-01-10 14:45:00,2023-01-10 19:39:00,2023-01-10 15:20:00,2023-01-10 20:56:00,4.9,5.1,0.5,COMPLETE,Steel
WO-100094,MCH-003,1071,11934-02,CUST-04,2023-01-10 06:00:00,2023-01-10 10:30:00,2023-01-10 06:54:00,2023-01-10 11:34:48,4.5,4.2,0.48,COMPLETE,Stainless
WO-100095,MCH-003,1078,52504-01,CUST-04,2023-01-10 14:45:00,2023-01-10 16:21:00,2023-01-10 14:20:00,2023-01-10 16:15:12,1.6,1.5,0.42,COMPLETE,Aluminum
WO-100096,MCH-008,1048,24371-03,CUST-08,2023-01-11 14:30:00,2023-01-11 17:42:00,2023-01-11 15:26:00,,3.2,,0.46,ON_HOLD,Steel
WO-100097,MCH-008,1085,62565-01,CUST-02,2023-01-11 14:15:00,2023-01-11 16:03:00,2023-01-11 14:17:00,2023-01-11 16:23:36,1.8,1.8,0.31,COMPLETE,Aluminum
WO-100098,MCH-006,1067,76540-10,CUST-06,2023-01-11 07:00:00,2023-01-11 08:18:00,2023-01-11 06:58:00,2023-01-11 08:32:48,1.3,1.2,0.38,COMPLETE,Aluminum
WO-100099,MCH-001,1096,40007-02,CUST-06,2023-01-11 14:30:00,2023-01-12 00:30:00,2023-01-11 14:28:00,2023-01-12 05:04:00,10.0,14.0,0.6,COMPLETE,Stainless
WO-100100,MCH-012,1078,97841-05,CUST-01,2023-01-11 15:45:00,2023-01-11 20:39:00,2023-01-11 16:33:00,2023-01-11 21:10:12,4.9,4.4,0.22,COMPLETE,Steel
WO-100101,MCH-005,1013,16572-10,CUST-01,2023-01-11 07:00:00,2023-01-11 16:00:00,2023-01-11 07:06:00,2023-01-11 17:22:48,9.0,9.8,0.48,COMPLETE,Steel
WO-100102,MCH-004,1048,22156-07,CUST-03,2023-01-11 14:15:00,2023-01-11 19:39:00,2023-01-11 14:22:00,2023-01-11 19:47:12,5.4,5.0,0.42,COMPLETE,Aluminum
WO-100103,MCH-004,1078,80284-02,CUST-02,2023-01-11 14:45:00,2023-01-11 16:51:00,2023-01-11 15:15:00,2023-01-11 17:42:36,2.1,2.1,0.36,COMPLETE,Titanium
WO-100104,MCH-006,1096,89507-07,CUST-02,2023-01-11 15:15:00,2023-01-12 01:33:00,2023-01-11 14:50:00,2023-01-12 06:41:00,10.3,15.3,0.55,COMPLETE,Titanium
WO-100105,MCH-003,1048,84341-12,CUST-05,2023-01-12 15:00:00,2023-01-12 20:42:00,2023-01-12 15:07:00,2023-01-12 22:26:12,5.7,7.0,0.32,COMPLETE,Aluminum
WO-100106,MCH-001,1063,62565-01,CUST-01,2023-01-12 14:30:00,2023-01-12 16:18:00,2023-01-12 14:45:00,2023-01-12 16:58:12,1.8,1.8,0.42,COMPLETE,Aluminum
WO-100107,MCH-011,1063,40512-02,CUST-01,2023-01-12 15:45:00,2023-01-12 19:15:00,2023-01-12 16:04:00,2023-01-12 20:49:00,3.5,4.3,0.45,COMPLETE,Aluminum
WO-100108,MCH-012,1019,47388-07,CUST-02,2023-01-12 14:30:00,2023-01-12 19:30:00,2023-01-12 14:41:00,2023-01-12 20:30:12,5.0,5.5,0.32,COMPLETE,Steel
WO-100109,MCH-005,1048,44179-04,CUST-06,2023-01-12 15:30:00,2023-01-12 17:00:00,2023-01-12 15:57:00,2023-01-12 18:01:12,1.5,1.6,0.47,COMPLETE,Steel
WO-100110,MCH-006,1063,10851-03,CUST-04,2023-01-12 14:00:00,2023-01-12 15:18:00,2023-01-12 13:48:00,2023-01-12 15:21:00,1.3,1.2,0.35,COMPLETE,Steel
WO-100111,MCH-008,1013,22156-07,CUST-01,2023-01-12 07:45:00,2023-01-12 13:09:00,2023-01-12 08:27:00,2023-01-12 14:06:36,5.4,5.1,0.56,COMPLETE,Aluminum
WO-100112,MCH-008,1019,17100-11,CUST-01,2023-01-12 15:15:00,2023-01-12 20:27:00,2023-01-12 14:59:00,2023-01-12 20:48:12,5.2,5.5,0.32,COMPLETE,Steel
WO-100113,MCH-009,1031,80381-05,CUST-02,2023-01-12 14:30:00,2023-01-12 16:06:00,2023-01-12 15:28:00,2023-01-12 17:34:36,1.6,1.7,0.41,COMPLETE,Stainless
WO-100114,MCH-002,1067,17100-11,CUST-03,2023-01-12 07:30:00,2023-01-12 12:42:00,2023-01-12 08:30:00,2023-01-12 14:01:12,5.2,4.9,0.62,COMPLETE,Steel
WO-100115,MCH-005,1013,62296-11,CUST-01,2023-01-12 06:15:00,2023-01-12 08:15:00,2023-01-12 06:15:00,2023-01-12 08:42:00,2.0,2.0,0.45,COMPLETE,Steel
WO-100116,MCH-009,1048,16572-10,CUST-01,2023-01-12 15:45:00,2023-01-13 00:45:00,2023-01-12 16:07:00,2023-01-13 00:55:36,9.0,8.3,0.51,COMPLETE,Steel
WO-100117,MCH-006,1054,24322-04,CUST-05,2023-01-12 06:15:00,2023-01-12 09:51:00,2023-01-12 06:40:00,2023-01-12 11:24:24,3.6,4.3,0.44,COMPLETE,Aluminum
WO-100118,MCH-002,1025,52504-01,CUST-07,2023-01-12 07:00:00,2023-01-12 08:36:00,2023-01-12 07:02:00,2023-01-12 09:02:36,1.6,1.5,0.51,COMPLETE,Aluminum
WO-100119,MCH-005,1025,69929-06,CUST-04,2023-01-12 06:15:00,2023-01-12 15:39:00,2023-01-12 06:06:00,2023-01-12 16:16:12,9.4,9.5,0.67,COMPLETE,Stainless
WO-100120,MCH-010,1096,81482-02,CUST-02,2023-01-12 14:45:00,2023-01-12 15:57:00,2023-01-12 15:34:00,2023-01-12 17:14:12,1.2,1.1,0.57,COMPLETE,Steel
WO-100121,MCH-009,1063,19880-08,CUST-01,2023-01-13 15:30:00,2023-01-14 00:42:00,2023-01-13 15:58:00,2023-01-14 01:02:48,9.2,8.7,0.38,COMPLETE,Stainless
WO-100122,MCH-008,1048,24322-04,CUST-03,2023-01-13 15:45:00,2023-01-13 19:21:00,2023-01-13 15:31:00,2023-01-13 19:17:48,3.6,3.4,0.38,COMPLETE,Aluminum
WO-100123,MCH-002,1005,24322-04,CUST-02,2023-01-13 14:00:00,2023-01-13 17:36:00,2023-01-13 13:36:00,2023-01-13 18:06:00,3.6,3.8,0.7,COMPLETE,Aluminum
WO-100124,MCH-010,1005,52504-01,CUST-06,2023-01-13 14:45:00,2023-01-13 16:21:00,2023-01-13 15:20:00,2023-01-13 17:36:48,1.6,1.7,0.58,COMPLETE,Aluminum
WO-100125,MCH-008,1067,40007-02,CUST-02,2023-01-13 06:30:00,2023-01-13 16:30:00,2023-01-13 06:06:00,2023-01-13 16:31:12,10.0,10.0,0.42,COMPLETE,Stainless
WO-100126,MCH-011,1063,34890-05,CUST-01,2023-01-13 15:45:00,2023-01-13 18:15:00,2023-01-13 16:01:00,2023-01-13 18:48:24,2.5,2.3,0.49,COMPLETE,Aluminum
WO-100127,MCH-009,1071,16572-10,CUST-01,2023-01-13 07:30:00,2023-01-13 16:30:00,2023-01-13 08:19:00,2023-01-13 20:54:24,9.0,12.1,0.49,COMPLETE,Steel
WO-100128,MCH-002,1019,19071-09,CUST-04,2023-01-13 15:00:00,2023-01-13 17:00:00,2023-01-13 14:35:00,2023-01-13 17:02:36,2.0,2.0,0.46,COMPLETE,Stainless
WO-100129,MCH-008,1078,44179-04,CUST-04,2023-01-13 15:15:00,2023-01-13 16:45:00,2023-01-13 15:35:00,,1.5,,0.45,ON_HOLD,Steel
WO-100130,MCH-005,1048,34356-02,CUST-03,2023-01-13 15:30:00,2023-01-13 18:54:00,2023-01-13 16:28:00,2023-01-13 20:07:00,3.4,3.3,0.35,COMPLETE,Steel
WO-100131,MCH-005,1042,42271-10,CUST-03,2023-01-13 07:15:00,2023-01-13 12:03:00,2023-01-13 08:12:00,2023-01-13 13:30:36,4.8,4.8,0.51,COMPLETE,Steel
WO-100132,MCH-012,1088,81482-02,CUST-01,2023-01-13 07:00:00,2023-01-13 08:12:00,2023-01-13 08:00:00,2023-01-13 09:43:12,1.2,1.2,0.52,COMPLETE,Steel
WO-100133,MCH-006,1085,50306-04,CUST-04,2023-01-13 15:30:00,2023-01-14 00:24:00,2023-01-13 16:26:00,2023-01-14 06:27:12,8.9,13.6,0.42,COMPLETE,Aluminum
WO-100134,MCH-011,1048,44718-03,CUST-04,2023-01-13 15:30:00,2023-01-13 20:18:00,2023-01-13 16:30:00,2023-01-13 22:52:48,4.8,6.0,0.38,COMPLETE,Aluminum
WO-100135,MCH-006,1019,16572-10,CUST-03,2023-01-13 15:30:00,2023-01-14 00:30:00,2023-01-13 15:15:00,2023-01-14 01:37:48,9.0,9.8,0.58,COMPLETE,Steel
WO-100136,MCH-007,1078,76540-10,CUST-03,2023-01-13 15:45:00,2023-01-13 17:03:00,2023-01-13 15:42:00,2023-01-13 17:25:48,1.3,1.2,0.53,COMPLETE,Aluminum
